"85","-127.00","40.24","1084.88","0","2021-10-20 12:34:09",NULL
"86","-127.00","40.24","1084.88","0","2021-10-20 12:34:16",NULL
"87","32.88","7.28","1084.82","-460","2021-10-20 12:36:08",NULL
"88","32.88","7.26","1084.81","-460","2021-10-20 12:36:13",NULL
"89","32.88","7.35","1084.81","73","2021-10-20 12:36:21",NULL
"90","32.88","7.26","1084.81","-190","2021-10-20 12:36:30",NULL
"91","32.88","7.20","1084.81","92","2021-10-20 12:36:41",NULL
"92","32.88","7.20","1084.81","-206","2021-10-20 12:36:46",NULL
"93","32.88","7.23","1084.81","-460","2021-10-20 12:36:54",NULL
"94","32.88","7.22","1084.81","58","2021-10-20 12:37:06",NULL
"95","32.88","7.20","1084.81","96","2021-10-20 12:37:10",NULL
"96","32.88","7.25","1084.81","52","2021-10-20 12:37:19",NULL
"97","32.88","7.41","1084.81","58","2021-10-20 12:37:23",NULL
"98","32.88","7.78","1084.80","49","2021-10-20 12:37:32",NULL
"99","32.88","7.67","1084.81","51","2021-10-20 12:37:37",NULL
"100","32.88","7.47","1084.81","-202","2021-10-20 12:37:45",NULL
"101","32.88","7.44","1084.81","49","2021-10-20 12:37:54",NULL
"102","32.88","7.39","1084.81","58","2021-10-20 12:38:02",NULL
"103","32.88","7.34","1084.81","95","2021-10-20 12:38:11",NULL
"104","32.88","7.33","1084.81","96","2021-10-20 12:38:19",NULL
"105","32.88","7.32","1084.81","96","2021-10-20 12:38:28",NULL
"106","32.88","7.27","1084.81","61","2021-10-20 12:38:36",NULL
"107","32.88","7.24","1084.80","49","2021-10-20 12:38:45",NULL
"108","32.81","7.23","1084.81","71","2021-10-20 12:38:53",NULL
"109","32.81","7.23","1084.80","48","2021-10-20 12:39:01",NULL
"110","32.75","7.23","1084.81","42","2021-10-20 12:39:10",NULL
"111","32.81","7.20","1084.80","-311","2021-10-20 12:39:18",NULL
"112","32.81","7.16","1084.81","46","2021-10-20 12:39:24",NULL
"113","32.81","7.14","1084.80","59","2021-10-20 12:39:32",NULL
"114","32.81","7.15","1084.81","49","2021-10-20 12:39:41",NULL
"115","32.81","7.11","1084.80","47","2021-10-20 12:39:49",NULL
"116","32.81","7.11","1084.81","47","2021-10-20 12:39:58",NULL
"117","32.88","7.07","1084.81","36","2021-10-20 12:40:06",NULL
"118","32.81","7.07","1084.80","55","2021-10-20 12:40:14",NULL
"119","32.81","7.08","1084.81","57","2021-10-20 12:40:23",NULL
"120","32.88","7.06","1084.80","58","2021-10-20 12:40:31",NULL
