id,suhu,ph,salinitas,ketinggian,create at,update at
3385,29.19,7.42,450,55,11/7/2021 13:34,NULL
3386,29.25,7.41,450,57,11/7/2021 13:34,NULL
3387,29.19,7.42,452,55,11/7/2021 13:34,NULL
3388,29.19,7.41,452,57,11/7/2021 13:34,NULL
3389,29.19,7.41,451,55,11/7/2021 13:34,NULL
3390,29.25,7.42,451,54,11/7/2021 13:34,NULL
3391,29.25,7.42,450,56,11/7/2021 13:35,NULL
3392,29.19,7.42,451,51,11/7/2021 13:35,NULL
3393,29.25,7.42,452,55,11/7/2021 13:35,NULL
3394,29.25,7.41,450,53,11/7/2021 13:35,NULL
3395,29.19,7.42,450,56,11/7/2021 13:35,NULL
3396,29.19,7.41,449,57,11/7/2021 13:35,NULL
3397,29.19,7.42,450,57,11/7/2021 13:35,NULL
3398,29.25,7.42,450,56,11/7/2021 13:36,NULL
3399,29.19,7.42,451,54,11/7/2021 13:36,NULL
3400,29.25,7.42,450,57,11/7/2021 13:36,NULL
3401,29.19,7.42,450,55,11/7/2021 13:36,NULL
3402,29.19,7.42,451,57,11/7/2021 13:36,NULL
3403,29.19,7.42,452,56,11/7/2021 13:36,NULL
3404,29.19,7.42,452,57,11/7/2021 13:36,NULL
3405,29.12,7.42,452,57,11/7/2021 13:37,NULL
3406,29.19,7.42,451,56,11/7/2021 13:37,NULL
3407,29.19,7.42,451,56,11/7/2021 13:37,NULL
3408,29.19,7.42,450,56,11/7/2021 13:37,NULL
3409,29.19,7.42,451,50,11/7/2021 13:37,NULL
3410,29.19,7.42,451,57,11/7/2021 13:37,NULL
3411,29.25,7.42,451,56,11/7/2021 13:37,NULL
3412,29.19,7.42,449,57,11/7/2021 13:38,NULL
3413,29.19,7.42,449,57,11/7/2021 13:38,NULL
3414,29.19,7.42,450,56,11/7/2021 13:38,NULL
3415,29.19,7.42,449,33,11/7/2021 13:38,NULL
3416,29.19,7.42,451,57,11/7/2021 13:38,NULL
3417,29.19,7.42,451,56,11/7/2021 13:38,NULL
3418,29.25,7.42,452,57,11/7/2021 13:38,NULL
3419,29.19,7.42,451,54,11/7/2021 13:38,NULL
3420,29.25,7.42,450,57,11/7/2021 13:39,NULL
3421,29.19,7.42,451,57,11/7/2021 13:39,NULL
3422,29.19,7.43,452,57,11/7/2021 13:39,NULL
3423,29.19,7.43,452,56,11/7/2021 13:39,NULL
3424,29.25,7.43,452,55,11/7/2021 13:39,NULL
3425,29.19,7.43,450,56,11/7/2021 13:39,NULL
3426,29.19,7.43,450,54,11/7/2021 13:39,NULL
3427,29.12,7.43,452,55,11/7/2021 13:39,NULL
3428,29.19,7.43,452,56,11/7/2021 13:40,NULL
3429,29.19,7.43,453,54,11/7/2021 13:40,NULL
3430,29.19,7.43,453,56,11/7/2021 13:40,NULL
3431,29.25,7.43,453,56,11/7/2021 13:40,NULL
3432,29.19,7.43,453,55,11/7/2021 13:40,NULL
3433,29.19,7.43,451,55,11/7/2021 13:40,NULL
3434,29.19,7.43,450,55,11/7/2021 13:40,NULL
3435,29.19,7.43,450,57,11/7/2021 13:41,NULL
3436,29.19,7.43,451,10,11/7/2021 13:41,NULL
3437,29.25,7.43,452,14,11/7/2021 13:41,NULL
3438,29.19,7.43,452,56,11/7/2021 13:41,NULL
3439,29.19,7.43,452,53,11/7/2021 13:41,NULL
3440,29.19,7.43,451,56,11/7/2021 13:41,NULL
3441,29.19,7.43,450,56,11/7/2021 13:41,NULL
3442,29.19,7.43,452,56,11/7/2021 13:41,NULL
3443,29.19,7.44,452,57,11/7/2021 13:42,NULL
3444,29.19,7.44,452,56,11/7/2021 13:42,NULL
3445,29.19,7.43,452,54,11/7/2021 13:42,NULL
3446,29.19,7.44,452,57,11/7/2021 13:42,NULL
3447,29.25,7.44,453,55,11/7/2021 13:42,NULL
3448,29.19,7.44,452,56,11/7/2021 13:42,NULL
3449,29.19,7.44,451,56,11/7/2021 13:42,NULL
3450,29.19,7.44,450,56,11/7/2021 13:43,NULL
3451,29.19,7.44,450,-4,11/7/2021 13:43,NULL
3452,29.19,7.44,451,55,11/7/2021 13:43,NULL
3453,29.19,7.44,451,54,11/7/2021 13:43,NULL
3454,29.12,7.44,451,56,11/7/2021 13:43,NULL
3455,29.12,7.44,451,12,11/7/2021 13:43,NULL
3456,29.19,7.44,452,52,11/7/2021 13:43,NULL
3457,29.19,7.44,451,55,11/7/2021 13:44,NULL
3458,29.19,7.44,452,55,11/7/2021 13:44,NULL
3459,29.19,7.44,451,56,11/7/2021 13:44,NULL
3460,29.19,7.44,451,54,11/7/2021 13:44,NULL
3461,29.31,6.87,436,54,11/7/2021 14:27,NULL
3462,29.31,6.88,438,53,11/7/2021 14:27,NULL
3463,29.31,6.91,439,52,11/7/2021 14:28,NULL
3464,29.31,6.93,438,53,11/7/2021 14:28,NULL
3465,29.37,6.84,439,3,11/7/2021 14:28,NULL
3466,29.37,6.88,439,54,11/7/2021 14:28,NULL
3467,29.31,6.86,440,50,11/7/2021 14:28,NULL
3468,29.37,6.85,440,54,11/7/2021 14:28,NULL
3469,29.37,6.89,442,54,11/7/2021 14:28,NULL
3470,29.31,6.86,440,55,11/7/2021 14:29,NULL
3471,29.31,6.83,441,51,11/7/2021 14:29,NULL
3472,29.37,6.86,441,53,11/7/2021 14:29,NULL
3473,29.25,6.85,441,54,11/7/2021 14:29,NULL
3474,29.31,6.87,442,49,11/7/2021 14:29,NULL
3475,29.31,6.88,442,54,11/7/2021 14:29,NULL
3476,29.31,6.91,444,53,11/7/2021 14:30,NULL
3477,29.31,6.87,443,54,11/7/2021 14:30,NULL
3478,29.31,6.85,444,54,11/7/2021 14:30,NULL
3479,29.31,6.84,445,55,11/7/2021 14:30,NULL
3480,29.37,6.83,444,54,11/7/2021 14:30,NULL
3481,29.31,6.83,444,52,11/7/2021 14:30,NULL
3482,29.31,6.75,445,54,11/7/2021 14:30,NULL
3483,29.25,6.84,444,54,11/7/2021 14:31,NULL
3484,29.37,6.81,446,54,11/7/2021 14:31,NULL
3485,29.25,6.95,447,50,11/7/2021 14:32,NULL
3486,29.31,6.84,447,53,11/7/2021 14:32,NULL
3487,29.25,6.86,447,48,11/7/2021 14:32,NULL
3488,29.31,6.82,447,54,11/7/2021 14:32,NULL
3489,29.31,6.77,447,49,11/7/2021 14:32,NULL
3490,29.31,6.77,447,54,11/7/2021 14:32,NULL
3491,29.37,6.82,447,52,11/7/2021 14:32,NULL
3492,29.31,6.82,446,55,11/7/2021 14:32,NULL
3493,29.25,6.79,445,54,11/7/2021 14:33,NULL
3494,29.31,6.77,447,54,11/7/2021 14:34,NULL
3495,29.31,6.76,447,55,11/7/2021 14:34,NULL
3496,29.31,6.72,448,54,11/7/2021 14:34,NULL
3497,29.37,6.81,446,54,11/7/2021 14:34,NULL
3498,29.37,6.71,447,54,11/7/2021 14:34,NULL
3499,29.37,6.77,448,55,11/7/2021 14:34,NULL
3500,29.31,6.76,448,52,11/7/2021 14:34,NULL
3501,29.31,6.76,447,55,11/7/2021 14:35,NULL
3502,29.31,6.71,448,54,11/7/2021 14:35,NULL
3503,29.31,6.7,447,54,11/7/2021 14:35,NULL
3504,29.37,6.72,447,53,11/7/2021 14:36,NULL
3505,29.31,6.68,449,53,11/7/2021 14:36,NULL
3506,29.31,6.69,448,54,11/7/2021 14:36,NULL
3507,29.31,6.61,449,53,11/7/2021 14:36,NULL
3508,29.31,6.62,449,52,11/7/2021 14:36,NULL
3509,29.31,6.58,449,5,11/7/2021 14:36,NULL
3510,29.31,6.53,449,53,11/7/2021 14:37,NULL
3511,29.31,6.57,449,54,11/7/2021 14:37,NULL
3512,29.37,6.61,450,54,11/7/2021 14:37,NULL
3513,29.31,6.52,450,54,11/7/2021 14:37,NULL
3514,29.31,6.52,449,52,11/7/2021 14:37,NULL
3515,29.25,6.58,450,55,11/7/2021 14:37,NULL
3516,29.37,6.58,449,54,11/7/2021 14:37,NULL
3517,29.37,6.57,449,52,11/7/2021 14:37,NULL
3518,29.31,6.61,448,55,11/7/2021 14:38,NULL
3519,29.37,6.61,447,54,11/7/2021 14:38,NULL
3520,29.31,6.62,447,54,11/7/2021 14:38,NULL
3521,29.37,6.62,448,-20,11/7/2021 14:38,NULL
3522,29.31,6.58,449,54,11/7/2021 14:38,NULL
3523,29.37,6.61,449,52,11/7/2021 14:38,NULL
3524,29.37,6.5,449,54,11/7/2021 14:38,NULL
3525,29.37,6.59,449,-11,11/7/2021 14:38,NULL
3526,29.31,6.57,449,52,11/7/2021 14:38,NULL
3527,29.37,6.55,449,51,11/7/2021 14:39,NULL
3528,29.31,6.5,450,52,11/7/2021 14:39,NULL
3529,29.37,6.55,450,52,11/7/2021 14:39,NULL
3530,29.37,6.55,450,54,11/7/2021 14:39,NULL
3531,29.37,6.51,450,54,11/7/2021 14:39,NULL
3532,29.37,6.51,449,54,11/7/2021 14:39,NULL
3533,29.37,6.55,449,54,11/7/2021 14:39,NULL
3534,29.31,6.57,449,54,11/7/2021 14:40,NULL
3535,29.37,6.54,447,49,11/7/2021 14:40,NULL
3536,29.31,6.58,448,54,11/7/2021 14:40,NULL
3537,29.37,6.57,449,54,11/7/2021 14:40,NULL
3538,29.37,6.56,448,54,11/7/2021 14:40,NULL
3539,29.37,6.56,449,54,11/7/2021 14:40,NULL
3540,29.37,6.55,448,54,11/7/2021 14:40,NULL
3541,29.37,6.53,448,53,11/7/2021 14:40,NULL
3542,29.37,6.54,448,54,11/7/2021 14:40,NULL
3543,29.31,6.5,449,54,11/7/2021 14:41,NULL
3544,29.37,6.53,448,54,11/7/2021 14:41,NULL
3545,29.37,6.49,447,52,11/7/2021 14:41,NULL
3546,29.37,6.5,449,53,11/7/2021 14:41,NULL
3547,29.37,6.54,449,54,11/7/2021 14:41,NULL
3548,29.31,6.52,449,54,11/7/2021 14:41,NULL
3549,29.31,6.52,449,54,11/7/2021 14:41,NULL
3550,29.37,6.55,448,54,11/7/2021 14:42,NULL
3551,29.37,6.55,449,52,11/7/2021 14:42,NULL
3552,29.31,6.54,449,53,11/7/2021 14:42,NULL
3553,29.31,6.53,449,53,11/7/2021 14:42,NULL
3554,29.31,6.52,449,54,11/7/2021 14:42,NULL
3555,29.31,6.53,449,54,11/7/2021 14:42,NULL
3556,29.37,6.53,448,53,11/7/2021 14:42,NULL
3557,29.31,6.53,448,51,11/7/2021 14:42,NULL
3558,29.37,6.52,447,52,11/7/2021 14:43,NULL
3559,29.31,6.52,447,54,11/7/2021 14:43,NULL
3560,29.37,6.52,448,54,11/7/2021 14:43,NULL
3561,29.37,6.49,446,54,11/7/2021 15:01,NULL
3562,29.37,6.49,445,53,11/7/2021 15:01,NULL
3563,29.44,6.49,445,54,11/7/2021 15:01,NULL
3564,29.44,6.49,446,46,11/7/2021 15:01,NULL
3565,-127,6.49,437,55,11/7/2021 15:03,NULL
3566,29.37,6.49,438,54,11/7/2021 15:03,NULL
3567,29.44,6.49,439,-32,11/7/2021 15:04,NULL
3568,29.44,6.49,440,54,11/7/2021 15:04,NULL
3569,29.37,6.49,441,55,11/7/2021 15:04,NULL
3570,29.37,6.49,441,53,11/7/2021 15:04,NULL
3571,29.37,6.49,442,-9,11/7/2021 15:04,NULL
3572,29.44,6.49,442,53,11/7/2021 15:04,NULL
3573,29.37,6.48,445,50,11/7/2021 15:04,NULL
3574,29.44,6.48,446,55,11/7/2021 15:04,NULL
3575,29.37,6.49,446,55,11/7/2021 15:05,NULL
3576,29.37,6.49,447,-12,11/7/2021 15:05,NULL
3577,29.37,6.49,448,-116,11/7/2021 15:05,NULL
3578,29.37,6.49,447,54,11/7/2021 15:05,NULL
3579,29.37,6.49,447,55,11/7/2021 15:05,NULL
3580,29.44,6.49,446,55,11/7/2021 15:05,NULL
3581,29.44,6.49,447,52,11/7/2021 15:05,NULL
3582,29.37,6.49,447,55,11/7/2021 15:05,NULL
3583,29.44,6.49,447,-15,11/7/2021 15:06,NULL
3584,29.44,6.49,448,52,11/7/2021 15:06,NULL
3585,29.37,6.49,447,54,11/7/2021 15:06,NULL
3586,29.31,6.49,447,53,11/7/2021 15:06,NULL
3587,29.37,6.49,448,55,11/7/2021 15:06,NULL
3588,29.44,6.49,447,55,11/7/2021 15:06,NULL
3589,29.37,6.49,447,54,11/7/2021 15:06,NULL
3590,29.44,6.49,449,55,11/7/2021 15:06,NULL
3591,29.37,6.49,449,54,11/7/2021 15:07,NULL
3592,29.37,6.49,448,55,11/7/2021 15:07,NULL
3593,29.44,6.49,448,54,11/7/2021 15:07,NULL
3594,29.44,6.49,448,55,11/7/2021 15:07,NULL
3595,29.44,6.49,448,9,11/7/2021 15:07,NULL
3596,29.44,6.49,448,55,11/7/2021 15:07,NULL
3597,29.37,6.49,448,55,11/7/2021 15:08,NULL
3598,29.37,6.49,448,54,11/7/2021 15:08,NULL
3599,29.44,6.49,448,54,11/7/2021 15:08,NULL
3600,29.37,6.49,448,50,11/7/2021 15:08,NULL
3601,29.37,6.49,449,55,11/7/2021 15:08,NULL
3602,29.44,6.49,448,55,11/7/2021 15:08,NULL
3603,29.37,6.49,449,55,11/7/2021 15:08,NULL
3604,29.44,6.49,449,53,11/7/2021 15:08,NULL
3605,29.44,6.49,449,54,11/7/2021 15:08,NULL
3606,29.37,6.49,449,56,11/7/2021 15:08,NULL
3607,29.44,6.49,449,8,11/7/2021 15:09,NULL
3608,29.44,6.49,449,55,11/7/2021 15:09,NULL
3609,29.44,6.49,449,53,11/7/2021 15:09,NULL
3610,29.44,6.49,450,55,11/7/2021 15:09,NULL
3611,29.44,6.49,450,54,11/7/2021 15:10,NULL
3612,29.44,6.49,449,54,11/7/2021 15:10,NULL
3613,29.44,6.49,450,53,11/7/2021 15:10,NULL
3614,29.37,6.49,450,50,11/7/2021 15:10,NULL
3615,29.44,6.49,450,7,11/7/2021 15:11,NULL
3616,29.44,6.49,450,55,11/7/2021 15:11,NULL
3617,29.44,6.49,451,54,11/7/2021 15:11,NULL
3618,29.44,6.49,450,50,11/7/2021 15:11,NULL
3619,29.44,6.49,450,-113,11/7/2021 15:11,NULL
3620,29.44,6.49,451,55,11/7/2021 15:11,NULL
3621,29.44,6.49,451,55,11/7/2021 15:12,NULL
3622,29.44,6.49,451,51,11/7/2021 15:12,NULL
3623,29.44,6.49,451,55,11/7/2021 15:12,NULL
3624,29.37,6.49,451,56,11/7/2021 15:12,NULL
3625,29.37,6.49,451,55,11/7/2021 15:12,NULL
3626,29.37,6.49,452,53,11/7/2021 15:12,NULL
3627,29.44,6.49,452,55,11/7/2021 15:12,NULL
3628,29.44,6.49,451,55,11/7/2021 15:13,NULL
3629,29.44,6.49,452,55,11/7/2021 15:13,NULL
3630,29.44,6.49,452,55,11/7/2021 15:13,NULL
3631,29.37,6.49,452,53,11/7/2021 15:13,NULL
3632,29.44,6.49,451,54,11/7/2021 15:13,NULL
3633,29.44,6.49,452,55,11/7/2021 15:13,NULL
3634,29.44,6.49,452,55,11/7/2021 15:13,NULL
3635,29.44,6.48,452,54,11/7/2021 15:14,NULL
3636,29.37,6.49,448,55,11/7/2021 15:14,NULL
3637,29.37,6.49,448,54,11/7/2021 15:14,NULL
3638,29.44,6.49,448,55,11/7/2021 15:14,NULL
3639,29.37,6.49,448,55,11/7/2021 15:14,NULL
3640,29.37,6.49,449,55,11/7/2021 15:14,NULL
3641,29.44,6.49,449,54,11/7/2021 15:15,NULL
3642,29.44,6.49,449,55,11/7/2021 15:15,NULL
3643,29.44,6.48,450,52,11/7/2021 15:15,NULL
3644,29.44,6.48,450,55,11/7/2021 15:15,NULL
3645,29.37,6.48,450,54,11/7/2021 15:15,NULL
3646,29.44,6.48,451,54,11/7/2021 15:15,NULL
3647,29.37,6.48,450,48,11/7/2021 15:15,NULL
3648,29.37,6.48,450,52,11/7/2021 15:16,NULL
3649,29.37,6.48,451,55,11/7/2021 15:16,NULL
3650,29.37,6.48,450,9,11/7/2021 15:16,NULL
3651,29.31,6.48,422,54,11/7/2021 15:20,NULL
3652,29.44,6.48,428,55,11/7/2021 15:20,NULL
3653,29.37,6.48,433,54,11/7/2021 15:20,NULL
3654,29.37,6.48,439,53,11/7/2021 15:20,NULL
3655,29.44,6.48,440,54,11/7/2021 15:21,NULL
3656,29.37,6.48,442,54,11/7/2021 15:21,NULL
3657,29.37,6.48,442,54,11/7/2021 15:21,NULL
3658,29.37,6.48,444,54,11/7/2021 15:21,NULL
3659,29.37,6.48,445,54,11/7/2021 15:21,NULL
3660,29.37,6.48,445,54,11/7/2021 15:21,NULL
3661,29.37,6.48,445,54,11/7/2021 15:21,NULL
3662,29.44,6.48,446,54,11/7/2021 15:21,NULL
3663,29.37,6.48,447,53,11/7/2021 15:22,NULL
3664,29.44,6.48,448,53,11/7/2021 15:22,NULL
3665,29.37,6.48,449,55,11/7/2021 15:22,NULL
3666,29.37,6.48,448,53,11/7/2021 15:22,NULL
3667,29.44,6.48,448,53,11/7/2021 15:22,NULL
3668,29.37,6.48,449,51,11/7/2021 15:22,NULL
3669,29.37,6.48,449,55,11/7/2021 15:22,NULL
3670,29.44,6.48,449,54,11/7/2021 15:23,NULL
3671,29.37,6.48,449,53,11/7/2021 15:23,NULL
3672,29.37,6.48,449,54,11/7/2021 15:23,NULL
3673,29.37,6.48,450,8,11/7/2021 15:23,NULL
3674,29.37,6.48,450,55,11/7/2021 15:23,NULL
3675,29.44,6.48,450,54,11/7/2021 15:23,NULL
3676,29.37,6.48,450,55,11/7/2021 15:23,NULL
3677,29.37,6.48,450,52,11/7/2021 15:24,NULL
3678,29.44,6.48,449,54,11/7/2021 15:24,NULL
3679,29.44,6.48,450,55,11/7/2021 15:24,NULL
3680,29.44,6.48,450,53,11/7/2021 15:24,NULL
3681,29.37,6.48,450,52,11/7/2021 15:24,NULL
3682,29.44,6.48,450,54,11/7/2021 15:24,NULL
3683,29.44,6.48,450,55,11/7/2021 15:24,NULL
3684,29.37,6.48,451,54,11/7/2021 15:25,NULL
3685,29.37,6.48,451,53,11/7/2021 15:25,NULL
